json_category_keys,full_category_name
"[""Business"", ""Development"", ""Manager""]",Business Development Manager
"[""Business"", ""Intelligence"", ""Tableau"", ""Analyst""]",Business Intelligence Tableau Analyst 
"[""Business"", ""Manager""]",Business Manager
"[""Call"", ""Center"", ""Representative""]",Call Center Representative
"[""Car"", ""Driver""]",Car Driver
"[""Carpenter""]",Carpenter
"[""Cashier""]",Cashier
"[""CDL"", ""Driver""]",CDL Driver
"[""CEO""]",CEO
"[""Certified"", ""Nursing"", ""Assistant""]",Certified Nursing Assistant
"[""Certified"", ""Welding"", ""Inspector""]",Certified Welding Inspector
"[""CFO""]",CFO 
"[""Chef""]",Chef
"[""Chemical"", ""Engineer""]",Chemical Engineer 
"[""Chief"", ""Information"", ""Security"", ""Officer""]",Chief Information Security Officer 
"[""Chiropractor""]",Chiropractor
"[""Civil"", ""Engineer""]",Civil Engineer
"[""CNC"", ""Machinist""]",CNC Machinist
"[""CNC"", ""Programmer""]",CNC Programmer
"[""Coating"", ""Inspector""]",Coating Inspector
"[""COBOL"", ""Programmer""]",COBOL Programmer
"[""Commercial"", ""Diver""]",Commercial Diver
"[""Computer"", ""Programmer""]",Computer Programmer
"[""Computer"", ""Technician""]",Computer Technician
"[""Construction"", ""Manager""]",Construction Manager
"[""Construction"", ""Project"", ""Manager""]",Construction Project Manager
"[""Corporate"", ""Trainer""]",Corporate Trainer 
"[""CPA""]",CPA
"[""Crane"", ""Operator""]",Crane Operator
"[""Crime"", ""Analyst""]",Crime Analyst
"[""Criminal"", ""Investigator""]",Criminal Investigator
"[""Customer"", ""Service"", ""Representative""]",Customer Service Representative
"[""Dance"", ""Teacher""]",Dance Teacher
"[""Data"", ""Analyst""]",Data Analyst
"[""Data"", ""Center"", ""Manager""]",Data Center Manager
"[""Data"", ""Entry"", ""Clerk""]",Data Entry Clerk
"[""Data"", ""Scientist""]",Data Scientist
"[""Deckhand""]",Deckhand
"[""Delivery"", ""Driver""]",Delivery Driver
"[""Dental"", ""Assistant""]",Dental Assistant
"[""Dental"", ""Hygienist""]",Dental Hygienist
"[""Dental"", ""Laboratory"", ""Technician""]",Dental Laboratory Technician
"[""Dental"", ""Office"", ""Manager""]",Dental Office Manager
"[""Dental"", ""Receptionist""]",Dental Receptionist
"[""Dentist""]",Dentist
"[""Diagnostic"", ""Medical"", ""Sonographer""]",Diagnostic Medical Sonographer
"[""Diesel"", ""Mechanic""]",Diesel Mechanic
"[""Dietary"", ""Aide""]",Dietary Aide
"[""Dietetic"", ""Technician""]",Dietetic Technician
"[""Dietitian""]",Dietitian
"[""Digital"", ""Designer""]",Digital Designer
"[""Digital"", ""Marketing"", ""Manager""]",Digital Marketing Manager
"[""Director"", ""Of"", ""Construction""]",Director Of Construction
"[""Director"", ""Of"", ""Engineering""]",Director Of Engineering
"[""Director"", ""Of"", ""Operations""]",Director Of Operations
"[""Director"", ""Of"", ""Security""]",Director Of Security
"[""Director"", ""Of"", ""Special"", ""Events""]",Director Of Special Events
"[""Dispatcher""]",Dispatcher
"[""District"", ""Manager""]",District Manager
"[""Dj""]",Dj
"[""Drama"", ""Teacher""]",Drama Teacher
"[""Drone"", ""Pilot""]",Drone Pilot
"[""Early"", ""Childhood"", ""Teacher""]",Early Childhood Teacher
"[""Economist""]",Economist
"[""Editor""]",Editor
"[""Editorial"", ""Assistant""]",Editorial Assistant
"[""Education"", ""Consultant""]",Education Consultant
"[""EKG"", ""Technician""]",EKG Technician
"[""Electrical"", ""Engineer""]",Electrical Engineer
"[""Electrician""]",Electrician
"[""Electrician"", ""Apprentice""]",Electrician Apprentice
"[""Electronics"", ""Engineer""]",Electronics Engineer
"[""Electronics"", ""Technician""]",Electronics Technician
"[""Elementary"", ""School"", ""Teacher""]",Elementary School Teacher
"[""Emergency"", ""Management"", ""Specialist""]",Emergency Management Specialist
"[""Emergency"", ""Medical"", ""Technician""]",Emergency Medical Technician
"[""English"", ""Teacher""]",English Teacher
"[""Entry"", ""Level"", ""Business"", ""Analyst""]",Entry Level Business Analyst 
"[""Entry"", ""Level"", ""Chemical"", ""Engineer""]",Entry Level Chemical Engineer
"[""Entry"", ""Level"", ""Electrical"", ""Engineer""]",Entry Level Electrical Engineer
"[""Entry"", ""Level"", ""Java"", ""Developer""]",Entry Level Java Developer
"[""Entry"", ""Level"", ""Mechanical"", ""Engineer""]",Entry Level Mechanical Engineer
"[""Entry"", ""Level"", ""Programmer""]",Entry Level Programmer
"[""Environmental"", ""Scientist""]",Environmental Scientist
"[""Epidemiologist""]",Epidemiologist
"[""Esthetician""]",Esthetician
"[""Event"", ""Coordinator""]",Event Coordinator
"[""Event"", ""Planner""]",Event Planner
"[""Executive"", ""Assistant""]",Executive Assistant 
"[""Executive"", ""Chef""]",Executive Chef
"[""Exercise"", ""Physiologist""]",Exercise Physiologist
"[""Facilities"", ""Manager""]",Facilities Manager
"[""Farm"", ""Worker""]",Farm Worker
"[""Fashion"", ""Assistant"", ""Buyer""]",Fashion Assistant Buyer
"[""Fashion"", ""Designer""]",Fashion Designer
"[""Fiber"", ""Optic"", ""Technician""]",Fiber Optic Technician
"[""Field"", ""Service"", ""Technician""]",Field Service Technician
"[""File"", ""Clerk""]",File Clerk
"[""Finance"", ""Director""]",Finance Director
"[""Financial"", ""Analyst""]",Financial Analyst 
"[""Financial"", ""Controller""]",Financial Controller
"[""Financial"", ""Manager""]",Financial Manager
"[""Financial"", ""Planner""]",Financial Planner
"[""Fire"", ""Investigator""]",Fire Investigator
"[""Fire"", ""Watch""]",Fire Watch
"[""Firearms"", ""Instructor""]",Firearms Instructor
"[""Firefighter""]",Firefighter
"[""Fit"", ""Model""]",Fit Model
"[""Fleet"", ""Manager""]",Fleet Manager
"[""Flight"", ""Attendant""]",Flight Attendant
"[""Flight"", ""Dispatcher""]",Flight Dispatcher
"[""Floral"", ""Designer""]",Floral Designer
"[""Florist""]",Florist
"[""Food"", ""Scientist""]",Food Scientist
"[""Forensic"", ""Accountant""]",Forensic Accountant 
"[""Forklift"", ""Operator""]",Forklift Operator
"[""Fraud"", ""Investigator""]",Fraud Investigator
"[""French"", ""Teacher""]",French Teacher
"[""Front"", ""Desk"", ""Receptionist""]",Front Desk Receptionist
"[""Front-End"", ""Web"", ""Developer""]",Front-End Web Developer
"[""Funeral"", ""Director""]",Funeral Director
"[""Game"", ""Designer""]",Game Designer
"[""Game"", ""Tester""]",Game Tester
"[""Garden"", ""Sales"", ""Associate""]",Garden Sales Associate
"[""Garnishment"", ""Specialist""]",Garnishment Specialist
"[""Gas"", ""Turbine"", ""Technician""]",Gas Turbine Technician
"[""General"", ""Manager""]",General Manager
"[""Genetic"", ""Counselor""]",Genetic Counselor
"[""Geneticist""]",Geneticist
"[""Geographer""]",Geographer
"[""Geologist""]",Geologist
"[""Geophysicist""]",Geophysicist
"[""Geotechnical"", ""Engineer""]",Geotechnical Engineer
"[""Geriatric"", ""Nurse"", ""Practitioner""]",Geriatric Nurse Practitioner 
"[""GIS"", ""Analyst""]",GIS Analyst
"[""GIS"", ""Developer""]",GIS Developer
"[""GIS"", ""Specialist""]",GIS Specialist
"[""GIS"", ""Technician""]",GIS Technician
"[""Global"", ""Account"", ""Manager""]",Global Account Manager
"[""Golf"", ""Caddie""]",Golf Caddie
"[""Golf"", ""Club"", ""Manager""]",Golf Club Manager
"[""Golf"", ""General"", ""Manager""]",Golf General Manager
"[""Grant"", ""Accountant""]",Grant Accountant 
"[""Grant"", ""Writer""]",Grant Writer
"[""Graphic"", ""Artist""]",Graphic Artist
"[""Graphic"", ""Design"", ""Assistant""]",Graphic Design Assistant 
"[""Graphic"", ""Designer""]",Graphic Designer
"[""Groundskeeper""]",Groundskeeper
"[""Guidance"", ""Counselor""]",Guidance Counselor
"[""Hair"", ""Stylist""]",Hair Stylist
"[""Hairdresser""]",Hairdresser
"[""Handyman""]",Handyman
"[""Head"", ""Baseball"", ""Coach""]",Head Baseball Coach
"[""Head"", ""Basketball"", ""Coach""]",Head Basketball Coach
"[""Head"", ""Football"", ""Coach""]",Head Football Coach
"[""Health"", ""Coach""]",Health Coach
"[""Health"", ""Inspector""]",Health Inspector
"[""Healthcare"", ""Data"", ""Analyst""]",Healthcare Data Analyst 
"[""Helicopter"", ""Pilot""]",Helicopter Pilot
"[""Historian""]",Historian
"[""History"", ""Teacher""]",History Teacher
"[""Home"", ""Care"", ""Aide""]",Home Care Aide
"[""Home"", ""Inspector""]",Home Inspector 
"[""Hospital"", ""Chaplain""]",Hospital Chaplain 
"[""Hotel"", ""General"", ""Manager""]",Hotel General Manager
"[""Hotel"", ""Manager""]",Hotel Manager
"[""HR"", ""Coordinator""]",HR Coordinator
"[""HR"", ""Director""]",HR Director
"[""HR"", ""Specialist""]",HR Specialist
"[""HRIS"", ""Analyst""]",HRIS Analyst
"[""Human"", ""Resource"", ""Assistant""]",Human Resource Assistant
"[""Human"", ""Resources"", ""Director""]",Human Resources Director
"[""Human"", ""Resources"", ""Manager""]",Human Resources Manager
"[""Hvac"", ""Apprentice""]",Hvac Apprentice
"[""HVAC"", ""Engineer""]",HVAC Engineer
"[""HVAC"", ""Installer""]",HVAC Installer
"[""HVAC"", ""Sales""]",HVAC Sales
"[""HVAC"", ""Technician""]",HVAC Technician
"[""Illustrator""]",Illustrator
"[""Independent"", ""Adjuster""]",Independent Adjuster
"[""Independent"", ""Contractor""]",Independent Contractor
"[""Industrial"", ""Designer""]",Industrial Designer
"[""Industrial"", ""Electrician""]",Industrial Electrician
"[""Industrial"", ""Engineer""]",Industrial Engineer
"[""Industrial"", ""Hygienist""]",Industrial Hygienist
"[""Information"", ""Security"", ""Analyst""]",Information Security Analyst
"[""Infrastructure"", ""Project"", ""Manager""]",Infrastructure Project Manager
"[""Inspector""]",Inspector
"[""Instructional"", ""Designer""]",Instructional Designer
"[""Instrument"", ""Technician""]",Instrument Technician
"[""Insulator""]",Insulator
"[""Insurance"", ""Agent""]",Insurance Agent
"[""Insurance"", ""Fraud"", ""Investigator""]",Insurance Fraud Investigator
"[""Insurance"", ""Investigator""]",Insurance Investigator
"[""Intelligence"", ""Analyst""]",Intelligence Analyst
"[""Interior"", ""Design"", ""Assistant""]",Interior Design Assistant
"[""Interior"", ""Designer""]",Interior Designer
"[""Intern""]",Intern
"[""International"", ""Police"", ""Advisor""]",International Police Advisor 
"[""Investment"", ""Banker""]",Investment Banker
"[""Ironworker""]",Ironworker
"[""IT"", ""Auditor""]",IT Auditor
"[""IT"", ""Business"", ""Analyst""]",IT Business Analyst
"[""IT"", ""Director""]",IT Director
"[""IT"", ""Manager""]",IT Manager
"[""IT"", ""Operations"", ""Manager""]",IT Operations Manager
"[""IT"", ""Project"", ""Manager""]",IT Project Manager
"[""IT"", ""Support"", ""Specialist""]",IT Support Specialist
"[""Janitor""]",Janitor
"[""Janitorial"", ""Manager""]",Janitorial Manager
"[""Java"", ""Developer""]",Java Developer
"[""Java"", ""Programmer""]",Java Programmer
"[""Java"", ""Team"", ""Lead""]",Java Team Lead
"[""Jeweler""]",Jeweler
"[""Job"", ""Coach""]",Job Coach
"[""Journalist""]",Journalist
"[""Journeyman"", ""Electrician""]",Journeyman Electrician
"[""Journeyman"", ""Lineman""]",Journeyman Lineman
"[""Journeyman"", ""Plumber""]",Journeyman Plumber
"[""Junior"", ""Analyst""]",Junior Analyst 
"[""Junior"", ""Art"", ""Director""]",Junior Art Director
"[""Junior"", ""Business"", ""Analyst""]",Junior Business Analyst 
"[""Junior"", ""Buyer""]",Junior Buyer
"[""Junior"", ""Copywriter""]",Junior Copywriter
"[""Junior"", ""Data"", ""Analyst""]",Junior Data Analyst
"[""Junior"", ""Designer""]",Junior Designer
"[""Junior"", ""Financial"", ""Analyst""]",Junior Financial Analyst
"[""Junior"", ""Geologist""]",Junior Geologist
"[""Junior"", ""Java"", ""Developer""]",Junior Java Developer
"[""Junior"", ""Loan"", ""Processor""]",Junior Loan Processor 
"[""Junior"", ""Project"", ""Manager""]",Junior Project Manager
"[""Junior"", ""Software"", ""Developer""]",Junior Software Developer
"[""Junior"", ""Underwriter""]",Junior Underwriter 
"[""Junior"", ""Web"", ""Designer""]",Junior Web Designer
"[""Junior"", ""Web"", ""Developer""]",Junior Web Developer
"[""Juvenile"", ""Probation"", ""Officer""]",Juvenile Probation Officer
"[""K12"", ""Account"", ""Manager""]",K12 Account Manager
"[""Kennel"", ""Assistant""]",Kennel Assistant
"[""Kennel"", ""Attendant""]",Kennel Attendant
"[""Kennel"", ""Manager""]",Kennel Manager 
"[""Kennel"", ""Technician""]",Kennel Technician
"[""Key"", ""Account"", ""Manager""]",Key Account Manager
"[""Key"", ""Holder""]",Key Holder
"[""Kindergarten"", ""Teacher""]",Kindergarten Teacher
"[""Kinesiology""]",Kinesiology
"[""Kinesiotherapist""]",Kinesiotherapist
"[""Kitchen"", ""Assistant""]",Kitchen Assistant
"[""Kitchen"", ""Designer""]",Kitchen Designer
"[""Kitchen"", ""Helper""]",Kitchen Helper
"[""Kitchen"", ""Manager""]",Kitchen Manager
"[""Kitchen"", ""Steward""]",Kitchen Steward
"[""Kitchen"", ""Supervisor""]",Kitchen Supervisor
"[""Knowledge"", ""Analyst""]",Knowledge Analyst 
"[""Knowledge"", ""Management"", ""Specialist""]",Knowledge Management Specialist
"[""Knowledge"", ""Manager""]",Knowledge Manager
"[""Korean"", ""Language"", ""Instructor""]",Korean Language Instructor
"[""Laboratory"", ""Assistant""]",Laboratory Assistant
"[""Laboratory"", ""Technician""]",Laboratory Technician
"[""Lactation"", ""Consultant""]",Lactation Consultant
"[""Land"", ""Surveyor""]",Land Surveyor
"[""Landscape"", ""Architect""]",Landscape Architect
"[""Landscape"", ""Laborer""]",Landscape Laborer
"[""Laser"", ""Technician""]",Laser Technician
"[""Law"", ""Office"", ""Assistant""]",Law Office Assistant
"[""Law"", ""Office"", ""Receptionist""]",Law Office Receptionist
"[""Leasing"", ""Consultant""]",Leasing Consultant
"[""Legal"", ""Assistant""]",Legal Assistant
"[""Legal"", ""Secretary""]",Legal Secretary
"[""Librarian""]",Librarian
"[""Library"", ""Assistant""]",Library Assistant
"[""Licensed"", ""Practical"", ""Nurse""]",Licensed Practical Nurse
"[""Life"", ""Coach""]",Life Coach
"[""Line"", ""Cook""]",Line Cook
"[""Live"", ""In"", ""Caregiver""]",Live In Caregiver
"[""Loan"", ""Officer""]",Loan Officer
"[""Loan"", ""Processor""]",Loan Processor
"[""Local"", ""Delivery"", ""Driver""]",Local Delivery Driver
"[""Local"", ""Truck"", ""Driver""]",Local Truck Driver
"[""Locksmith""]",Locksmith
"[""Locomotive"", ""Engineer""]",Locomotive Engineer
"[""Logging"", ""Equipment"", ""Operator""]",Logging Equipment Operator
"[""Logistics"", ""Coordinator""]",Logistics Coordinator
"[""Logistics"", ""Manager""]",Logistics Manager
"[""Logistics"", ""Specialist""]",Logistics Specialist
"[""LPN""]",LPN
"[""LVN""]",LVN
"[""Machinist""]",Machinist
"[""Maintenance"", ""Technician""]",Maintenance Technician
"[""Management"", ""Trainee""]",Management Trainee
"[""Manufacturing"", ""Engineer""]",Manufacturing Engineer
"[""Market"", ""Research"", ""Analyst""]",Market Research Analyst
"[""Marketing"", ""Director""]",Marketing Director
"[""Marketing"", ""Manager""]",Marketing Manager
"[""Massage"", ""Therapist""]",Massage Therapist
"[""Mechanic""]",Mechanic
"[""Mechanical"", ""Engineer""]",Mechanical Engineer 
"[""Mechanical"", ""Engineering"", ""Intern""]",Mechanical Engineering Intern
"[""Medical"", ""Assistant""]",Medical Assistant
"[""Medical"", ""Biller""]",Medical Biller
"[""Medical"", ""Coder""]",Medical Coder
"[""Medical"", ""Laboratory"", ""Technician""]",Medical Laboratory Technician
"[""Medical"", ""Office"", ""Receptionist""]",Medical Office Receptionist
"[""Medical"", ""Receptionist""]",Medical Receptionist
"[""Medical"", ""Sales"", ""Representative""]",Medical Sales Representative
"[""Medical"", ""Scribe""]",Medical Scribe
"[""Medical"", ""Secretary""]",Medical Secretary
"[""Medical"", ""Technologist""]",Medical Technologist
"[""Medical"", ""Transcriptionist""]",Medical Transcriptionist
"[""Merchandiser""]",Merchandiser
"[""Meteorologist""]",Meteorologist
"[""Microbiologist""]",Microbiologist
"[""Millwright""]",Millwright
"[""Miner""]",Miner 
"[""Music"", ""Teacher""]",Music Teacher
"[""Music"", ""Therapist""]",Music Therapist
"[""Nail"", ""Technician""]",Nail Technician
"[""Nanny""]",Nanny
"[""National"", ""Account"", ""Manager""]",National Account Manager
"[""National"", ""Sales"", ""Manager""]",National Sales Manager
"[""Naturalist""]",Naturalist
"[""NDT"", ""Technician""]",NDT Technician
"[""Neonatal"", ""Nurse"", ""Practitioner""]",Neonatal Nurse Practitioner
"[""Network"", ""Administrator""]",Network Administrator
"[""Network"", ""Architect""]",Network Architect
"[""Network"", ""Engineer""]",Network Engineer
"[""Network"", ""Operations"", ""Manager""]",Network Operations Manager
"[""Network"", ""Technician""]",Network Technician
"[""Newspaper"", ""Advertising"", ""Director""]",Newspaper Advertising Director 
"[""Night"", ""Auditor""]",Night Auditor
"[""Noc"", ""Technician""]",Noc Technician
"[""Non"", ""Certified"", ""Medical"", ""Assistant""]",Non Certified Medical Assistant 
"[""Non"", ""Clinical"", ""Physician""]",Non Clinical Physician 
"[""Non"", ""Profit"", ""Accountant""]",Non Profit Accountant 
"[""Nuclear"", ""Engineer""]",Nuclear Engineer
"[""Nuclear"", ""Medicine"", ""Technologist""]",Nuclear Medicine Technologist
"[""Nuclear"", ""Pharmacist""]",Nuclear Pharmacist
"[""Nurse"", ""Anesthetist""]",Nurse Anesthetist
"[""Nurse"", ""Consultant""]",Nurse Consultant
"[""Nurse"", ""Manager""]",Nurse Manager
"[""Nurse"", ""Practitioner""]",Nurse Practitioner
"[""Nurse"", ""Recruiter""]",Nurse Recruiter
"[""Nursing""]",Nursing
"[""Nursing"", ""Home"", ""Administrator""]",Nursing Home Administrator
"[""Nutritionist""]",Nutritionist
"[""Occupational"", ""Health"", ""Nurse""]",Occupational Health Nurse
"[""Occupational"", ""Therapist""]",Occupational Therapist
"[""Occupational"", ""Therapist"", ""Aide""]",Occupational Therapist Aide
"[""Occupational"", ""Therapy"", ""Aide""]",Occupational Therapy Aide
"[""Occupational"", ""Therapy"", ""Assistant""]",Occupational Therapy Assistant
"[""Office"", ""Administrator""]",Office Administrator
"[""Office"", ""Assistant""]",Office Assistant
"[""Office"", ""Clerk""]",Office Clerk
"[""Office"", ""Coordinator""]",Office Coordinator
"[""Office"", ""Manager""]",Office Manager
"[""Offshore"", ""Cook""]",Offshore Cook
"[""Online"", ""Copy"", ""Editor""]",Online Copy Editor
"[""Operations"", ""Director""]",Operations Director
"[""Operations"", ""Manager""]",Operations Manager
"[""Operations"", ""Research"", ""Analyst""]",Operations Research Analyst
"[""Operations"", ""Supervisor""]",Operations Supervisor
"[""Ophthalmic"", ""Technician""]",Ophthalmic Technician
"[""Optical"", ""Engineer""]",Optical Engineer
"[""Optician""]",Optician
"[""Optometrist""]",Optometrist
"[""Oracle"", ""Pl"", ""Sql"", ""Developer""]",Oracle Pl Sql Developer
"[""Order"", ""Processing"", ""Representative""]",Order Processing Representative
"[""Orthodontic"", ""Assistant""]",Orthodontic Assistant
"[""Orthodontist""]",Orthodontist
"[""Orthopedic"", ""Technician""]",Orthopedic Technician
"[""OSP"", ""Engineer""]",OSP Engineer
"[""OTR"", ""Truck"", ""Driver""]",OTR Truck Driver
"[""Outside"", ""Sales"", ""Representative""]",Outside Sales Representative
"[""Overseas"", ""Aircraft"", ""Mechanic""]",Overseas Aircraft Mechanic 
"[""Overseas"", ""Security""]",Overseas Security 
"[""Painter""]",Painter
"[""Paralegal""]",Paralegal
"[""Part"", ""Time"", ""Registered"", ""Nurse""]",Part Time Registered Nurse 
"[""Pastor""]",Pastor
"[""Pastry"", ""Chef""]",Pastry Chef
"[""Perfusionist""]",Perfusionist
"[""Personal"", ""Assistant""]",Personal Assistant
"[""Personal"", ""Trainer""]",Personal Trainer
"[""Petroleum"", ""Engineer""]",Petroleum Engineer
"[""Pharmaceutical"", ""Sales"", ""Representative""]",Pharmaceutical Sales Representative
"[""Pharmacist""]",Pharmacist
"[""Pharmacy"", ""Assistant""]",Pharmacy Assistant
"[""Pharmacy"", ""Technician""]",Pharmacy Technician
"[""Phlebotomist""]",Phlebotomist
"[""Photographer""]",Photographer
"[""Physical"", ""Therapist""]",Physical Therapist
"[""Physical"", ""Therapist"", ""Assistant""]",Physical Therapist Assistant
"[""Physical"", ""Therapy"", ""Aide""]",Physical Therapy Aide
"[""Physician"", ""Assistant""]",Physician Assistant
"[""Physicist""]",Physicist
"[""Piping"", ""Designer""]",Piping Designer
"[""Plumber""]",Plumber
"[""Podiatrist""]",Podiatrist
"[""Police"", ""Officer""]",Police Officer
"[""Preschool"", ""Teacher""]",Preschool Teacher
"[""Private"", ""Investigator""]",Private Investigator
"[""Project"", ""Manager""]",Project Manager
"[""Proofreader""]",Proofreader
"[""Property"", ""Caretaker""]",Property Caretaker 
"[""Proposal"", ""Manager""]",Proposal Manager
"[""QA"", ""Analyst""]",QA Analyst
"[""QA"", ""Engineer""]",QA Engineer
"[""QA"", ""Inspector""]",QA Inspector
"[""QA"", ""Lead""]",QA Lead
"[""QA"", ""Manager""]",QA Manager
"[""QA"", ""Tester""]",QA Tester
"[""Quality"", ""Analyst""]",Quality Analyst
"[""Quality"", ""Assurance"", ""Associate""]",Quality Assurance Associate
"[""Quality"", ""Assurance"", ""Auditor""]",Quality Assurance Auditor
"[""Quality"", ""Assurance"", ""Compliance"", ""Manager""]",Quality Assurance Compliance Manager
"[""Quality"", ""Assurance"", ""Compliance"", ""Specialist""]",Quality Assurance Compliance Specialist
"[""Quality"", ""Assurance"", ""Director""]",Quality Assurance Director
"[""Quality"", ""Assurance"", ""Engineer""]",Quality Assurance Engineer
"[""Quality"", ""Assurance"", ""Tester""]",Quality Assurance Tester
"[""Quality"", ""Control"", ""Analyst""]",Quality Control Analyst
"[""Quality"", ""Control"", ""Inspector""]",Quality Control Inspector
"[""Quality"", ""Control"", ""Lab"", ""Technician""]",Quality Control Lab Technician
"[""Quality"", ""Control"", ""Specialist""]",Quality Control Specialist
"[""Quality"", ""Control"", ""Supervisor""]",Quality Control Supervisor
"[""Quality"", ""Control"", ""Technician""]",Quality Control Technician
"[""Quality"", ""Coordinator""]",Quality Coordinator
"[""Quality"", ""Engineer""]",Quality Engineer
"[""Quality"", ""Inspector""]",Quality Inspector
"[""Quality"", ""Manager""]",Quality Manager
"[""Quality"", ""Supervisor""]",Quality Supervisor
"[""Quality"", ""Technician""]",Quality Technician
"[""Quantitative"", ""Analyst""]",Quantitative Analyst
"[""Quantitative"", ""Developer""]",Quantitative Developer
"[""Quantum"", ""Physicist""]",Quantum Physicist
"[""Quickbooks"", ""Bookkeeper""]",Quickbooks Bookkeeper 
"[""Radiation"", ""Therapist""]",Radiation Therapist
"[""Radiology"", ""Technologist""]",Radiology Technologist
"[""Reading"", ""Specialist""]",Reading Specialist
"[""Real"", ""Estate"", ""Agent""]",Real Estate Agent
"[""Real"", ""Estate"", ""Paralegal""]",Real Estate Paralegal
"[""Receptionist""]",Receptionist
"[""Reconciliation"", ""Specialist""]",Reconciliation Specialist
"[""Recreational"", ""Therapist""]",Recreational Therapist
"[""Recruiter""]",Recruiter 
"[""Recruiting"", ""Coordinator""]",Recruiting Coordinator
"[""Refrigeration"", ""Technician""]",Refrigeration Technician
"[""Regional"", ""Property"", ""Manager""]",Regional Property Manager
"[""Regional"", ""Sales"", ""Manager""]",Regional Sales Manager
"[""Registered"", ""Nurse""]",Registered Nurse
"[""Regulatory"", ""Affairs"", ""Associate""]",Regulatory Affairs Associate
"[""Release"", ""Manager""]",Release Manager
"[""Reliability"", ""Engineer""]",Reliability Engineer
"[""Research"", ""Analyst""]",Research Analyst
"[""Research"", ""assistant""]",Research assistant
"[""Research"", ""Scientist""]",Research Scientist
"[""Resort"", ""Manager""]",Resort Manager
"[""Respiratory"", ""Therapist""]",Respiratory Therapist
"[""Restaurant"", ""Manager""]",Restaurant Manager
"[""Retail"", ""Manager""]",Retail Manager
"[""Retail"", ""Merchandiser""]",Retail Merchandiser
"[""Retail"", ""Store"", ""Manager""]",Retail Store Manager
"[""RF"", ""Engineer""]",RF Engineer
"[""Rig"", ""Welder""]",Rig Welder
"[""Rodbuster""]",Rodbuster
"[""Roofer""]",Roofer
"[""Safety"", ""Manager""]",Safety Manager
"[""Sales"", ""Associate""]",Sales Associate
"[""Sales"", ""Manager""]",Sales Manager
"[""Sales"", ""Representative""]",Sales Representative
"[""Salesperson""]",Salesperson
"[""Salon"", ""Receptionist""]",Salon Receptionist
"[""SAS"", ""Programmer""]",SAS Programmer
"[""School"", ""Bus"", ""Driver""]",School Bus Driver
"[""School"", ""Principal""]",School Principal
"[""Security"", ""Guard""]",Security Guard
